year,India_GDP,India_Inflation,India_Interest_Rate
2014,2039126479228.11,6.66565671867867,10.25
2015,2103588360066.32,4.90697344127221,10.0083333333333
2016,2294796885682.55,4.9482163406217,9.6725
2017,2651474262735.28,3.32817337461305,9.50833333333333
2018,2702929641707.38,3.93882646691605,9.45416666666667
2019,2835606256616.03,3.72950573539131,9.46625
2020,2671595405986.86,6.62343677628578,9.15
2021,3150306839142.13,5.13140747176368,8.69833333333333
2022,3416645826052.87,6.6990341407983,8.56714285714286
2023,,,
